CID,Descriptor,Institution,Institution type,Course_Title,Local_Course_ID,Approval date,COR effective term,GI01,CB00,Last_Updated
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,Foothill College,California Community College,Calculus + Calculus,MATH1B,2023-09-01,Spring 2015,422,CCC000191296,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,Foothill College,California Community College,Calculus + Calculus,MATH1A,2023-09-01,Spring 2015,422,CCC000196412,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Cuyamaca College,California Community College,Analytic Geometry and Calculus I,MATH180,2023-09-01,Fall 2013,021,CCC000056676,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Crafton Hills College,California Community College,Single Variable Calculus I,MATH250,2023-09-01,Fall 2013,981,CCC000429831,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Crafton Hills College,California Community College,Single Variable Calculus I,MATH250,2023-09-01,Fall 2013,981,ccc000429831,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Crafton Hills College,California Community College,Single Variable Calculus I,MATH250,2023-09-01,Fall 2013,981,CCC000431371,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Oxnard College,California Community College,Calculus with Analytic Geometry I,MATHR120,2023-09-01,Fall 2013,682,CCC000060753,2023-10-07
MATH 230,Multivariable Calculus,Woodland Community College,California Community College,Multivariable Calculus,MATH1C,2023-09-01,Fall 2013,292,CCC000536673,2023-10-07
MATH 240,Ordinary Differential Equations,Contra Costa College,California Community College,Introduction to Differential Equations,MATH292,2023-09-01,Fall 2014,311,CCC000316668,2023-10-07
MATH 250,Introduction to Linear Algebra,Golden West College,California Community College,Applied Linear Algebra,MATHG235,2023-09-01,Fall 2016,832,CCC000336163,2023-10-07
MATH 230,Multivariable Calculus,Cuyamaca College,California Community College,Multivariable Calculus,MATH281,2023-09-01,Fall 2016,021,CCC000276717,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Calculus + Calculus,MATH1C,2023-09-01,Fall 2014,422,CCC000184880,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Calculus + Calculus,MATH1A,2023-09-01,Fall 2014,422,CCC000196412,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Foothill College,California Community College,Calculus + Calculus + Calculus,MATH1B,2023-09-01,Fall 2014,422,CCC000191296,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Santa Ana College,California Community College,Single Variable Calculus II,MATH185,2023-09-01,Fall 2015,871,CCC000398412,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Cosumnes River College,California Community College,Calculus II,MATH401,2023-09-01,Summer 2015,232,CCC000305199,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Norco College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1B,2023-09-01,Summer 2015 + Summer 2007,963,CCC000519839,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Moreno Valley College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1B,2023-09-01,Summer 2015 + Summer 2007,962,CCC000520602,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Riverside City College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1B,2023-09-01,Summer 2015 + Summer 2007,961,CCC000295562,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Norco College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1A,2023-09-01,Summer 2015 + Summer 2007,963,CCC000519838,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Moreno Valley College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1A,2023-09-01,Summer 2015 + Summer 2007,962,CCC000520601,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Riverside City College,California Community College,Calculus II + Calculus II + Calculus II + Calculus I + Calculus I + Calculus I,MAT1A,2023-09-01,Summer 2015 + Summer 2007,961,CCC000241023,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Merritt College,California Community College,Calculus II,MATH3B,2023-09-01,Fall 2014,344,CCC000357482,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Laney College,California Community College,Calculus I + Calculus II,MATH3A,2023-09-01,Summer 2013,343,CCC000382569,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Laney College,California Community College,Calculus I + Calculus II,MATH3B,2023-09-01,Summer 2013,343,CCC000372951,2023-10-07
MATH 250,Introduction to Linear Algebra,Southwestern College,California Community College,Introduction to Linear Algebra,MATH254,2023-09-01,Fall 2015,091,CCC000316055,2023-10-07
MATH 250,Introduction to Linear Algebra,Southwestern College,California Community College,Introduction to Linear Algebra,MATH254,2023-09-01,Fall 2015,091,CCC000534502,2023-10-07
MATH 250,Introduction to Linear Algebra,Southwestern College,California Community College,Introduction to Linear Algebra,MATH254,2023-09-01,Fall 2015,091,CCC000560165,2023-10-07
MATH 250,Introduction to Linear Algebra,Santiago Canyon College,California Community College,Linear Algebra,MATH290,2023-09-01,Fall 2015,873,CCC000015742,2023-10-07
MATH 250,Introduction to Linear Algebra,Santiago Canyon College,California Community College,Linear Algebra,MATH290,2023-09-01,Fall 2015,873,CCC000564633,2023-10-07
MATH 250,Introduction to Linear Algebra,West Valley College,California Community College,Linear Algebra,MATH004C,2023-09-01,Spring 2011,493,CCC000286043,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Crafton Hills College,California Community College,Single Variable Calculus I + Single Variable Calculus II,MATH250,2023-09-01,Fall 2013 + Fall 2014,981,CCC000429831,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Crafton Hills College,California Community College,Single Variable Calculus I + Single Variable Calculus II,MATH250,2023-09-01,Fall 2013 + Fall 2014,981,ccc000429831,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Crafton Hills College,California Community College,Single Variable Calculus I + Single Variable Calculus II,MATH250,2023-09-01,Fall 2013 + Fall 2014,981,CCC000431371,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Crafton Hills College,California Community College,Single Variable Calculus I + Single Variable Calculus II,MATH251,2023-09-01,Fall 2013 + Fall 2014,981,CCC000429715,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Crafton Hills College,California Community College,Single Variable Calculus I + Single Variable Calculus II,MATH251,2023-09-01,Fall 2013 + Fall 2014,981,CCC000431121,2023-10-07
MATH 230,Multivariable Calculus,College of the Redwoods,California Community College,Multivariable Calculus,MATH50C,2023-09-01,Fall 2014,161,CCC000355483,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Fresno City College,California Community College,Mathematical Analysis I + Mathematical Analysis II,MATH5A,2023-09-01,Spring 2015,571,CCC000336025,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Fresno City College,California Community College,Mathematical Analysis I + Mathematical Analysis II,MATH5A,2023-09-01,Spring 2015,571,CCC000444005,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Fresno City College,California Community College,Mathematical Analysis I + Mathematical Analysis II,MATH5B,2023-09-01,Spring 2015,571,CCC000266719,2023-10-07
MATH 250,Introduction to Linear Algebra,Monterey Peninsula College,California Community College,Linear Algebra,MATH31,2023-09-01,Fall 2015,461,CCC000209299,2023-10-07
MATH 250,Introduction to Linear Algebra,Monterey Peninsula College,California Community College,Linear Algebra,MATH31,2023-09-01,Fall 2015,461,CCC000566617,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,American River College,California Community College,Calculus I + Calculus II,MATH400,2023-09-01,Summer 2011 + Spring 2011,231,CCC000198198,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,American River College,California Community College,Calculus I + Calculus II,MATH401,2023-09-01,Summer 2011 + Spring 2011,231,CCC000333358,2023-10-07
MATH 240,Ordinary Differential Equations,Reedley College,California Community College,Differential Equations and Linear Algebra,MATH17,2023-09-01,Fall 2014,572,CCC000550783,2023-10-07
MATH 250,Introduction to Linear Algebra,Santa Rosa Junior College,California Community College,Introduction to Linear Algebra,MATH5,2023-09-01,Fall 2015,261,CCC000154116,2023-10-07
MATH 250,Introduction to Linear Algebra,Santa Rosa Junior College,California Community College,Introduction to Linear Algebra,MATH5,2023-09-01,Fall 2015,261,CCC000622689,2023-10-07
MATH 240,Ordinary Differential Equations,Los Angeles Trade Technical College,California Community College,Ordinary Differential Equations,MATH275,2023-09-01,Spring 2014,746,CCC000177871,2023-10-07
MATH 250,Introduction to Linear Algebra,Crafton Hills College,California Community College,Linear Algebra,MATH265,2023-09-01,Fall 2016,981,CCC000427810,2023-10-07
MATH 250,Introduction to Linear Algebra,Crafton Hills College,California Community College,Linear Algebra,MATH265,2023-09-01,Fall 2016,981,CCC000549165,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Modesto Junior College,California Community College,Introduction to Differential Equations and Linear Algebra,MATH174,2023-09-01,Summer 2015,592,CCC000282755,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,San Diego Mesa College,California Community College,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,MATH254,2023-09-01,Spring 2017,072,CCC000147021,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,San Diego City College,California Community College,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,MATH254,2023-09-01,Spring 2017,071,CCC000207463,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,San Diego Miramar College,California Community College,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,MATH254,2023-09-01,Spring 2017,073,CCC000359633,2023-10-07
MATH 240,Ordinary Differential Equations + Ordinary Differential Equations + Ordinary Differential Equations,Riverside City College,California Community College,Differential Equations + Differential Equations + Differential Equations,MAT2,2023-09-01,Summer 2007,961,CCC000069824,2023-10-07
MATH 240,Ordinary Differential Equations + Ordinary Differential Equations + Ordinary Differential Equations,Moreno Valley College,California Community College,Differential Equations + Differential Equations + Differential Equations,MAT2,2023-09-01,Summer 2007,962,CCC000520604,2023-10-07
MATH 240,Ordinary Differential Equations + Ordinary Differential Equations + Ordinary Differential Equations,Norco College,California Community College,Differential Equations + Differential Equations + Differential Equations,MAT2,2023-09-01,Summer 2007,963,CCC000519841,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,College of the Redwoods,California Community College,Differential Calculus,MATH50A,2023-09-01,Fall 2014,161,CCC000359920,2023-10-07
MATH 260,Survey of Differential Equations and Linear Algebra,Reedley College,California Community College,Differential Equations and Linear Algebra,MATH17,2023-09-01,Spring 2016,572,CCC000550783,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra + Differential Equations and Linear Algebra,American River College,California Community College,Differential Equations  + Introduction to Linear Algebra,MATH420,2023-09-01,Summer 2014 + Summer 2011,231,CCC000331771,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra + Differential Equations and Linear Algebra,American River College,California Community College,Differential Equations  + Introduction to Linear Algebra,MATH410,2023-09-01,Summer 2014 + Summer 2011,231,CCC000318292,2023-10-07
MATH 221,Single Variable Calculus II Late Transcendentals,Mt. San Jacinto College,California Community College,Honors Analytic Geometry and Calculus II,MATH212H,2023-09-01,Fall 2014,941,CCC000205324,2023-10-07
MATH 221,Single Variable Calculus II Late Transcendentals,Mt. San Jacinto College,California Community College,Honors Analytic Geometry and Calculus II,MATH212H,2023-09-01,Fall 2014,941,CCC000598481,2023-10-07
MATH 221,Single Variable Calculus II Late Transcendentals,Mt. San Jacinto College,California Community College,Analytic Geometry and Calculus II,MATH212,2023-09-01,Fall 2014,941,CCC000266224,2023-10-07
MATH 221,Single Variable Calculus II Late Transcendentals,Mt. San Jacinto College,California Community College,Analytic Geometry and Calculus II,MATH212,2023-09-01,Fall 2014,941,CCC000598480,2023-10-07
MATH 250,Introduction to Linear Algebra,Woodland Community College,California Community College,Linear Algebra,MATH3,2023-09-01,Fall 2013,292,CCC000516671,2023-10-07
MATH 250,Introduction to Linear Algebra,Yuba College,California Community College,Linear Algebra,MATH3,2023-09-01,Fall 2013,291,CCC000261193,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Moorpark College,California Community College,Calculus with Analytic Geometry II,MATHM25B,2023-09-01,Spring 2015,681,CCC000434818,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Rio Hondo College,California Community College,Calculus I + Calculus II,MATH190,2023-09-01,Fall 2015,881,CCC000404606,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Rio Hondo College,California Community College,Calculus I + Calculus II,MATH191,2023-09-01,Fall 2015,881,CCC000384221,2023-10-07
MATH 155,Precalculus,Rio Hondo College,California Community College,Pre-Calculus,MATH180,2023-09-01,Spring 2015,881,CCC000405329,2023-10-07
MATH 240,Ordinary Differential Equations,Palomar College,California Community College,Calculus with Differential Equations,MATH206,2023-09-01,Fall 2015,061,CCC000235487,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Santa Rosa Junior College,California Community College,"Calculus, First Course + Calculus, Second Course",MATH1A,2023-09-01,Fall 2014,261,CCC000339524,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Santa Rosa Junior College,California Community College,"Calculus, First Course + Calculus, Second Course",MATH1B,2023-09-01,Fall 2014,261,CCC000133664,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,De Anza College,California Community College,Calculus + Calculus,MATH1A,2023-09-01,Fall 2014,421,CCC000026332,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals + Single Variable Calculus I Early Transcendentals,De Anza College,California Community College,Calculus + Calculus,MATH1B,2023-09-01,Fall 2014,421,CCC000246814,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Laney College,California Community College,Calculus I,MATH3A,2023-09-01,Fall 2013,343,CCC000382569,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,College of Alameda,California Community College,Calculus I,MATH3A,2023-09-01,Fall 2015,341,CCC000351057,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Santa Barbara City College,California Community College,Calculus with Analytic Geometry I,MATH150,2023-09-01,Summer 2015,651,CCC000406218,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Skyline College,California Community College,Calculus with Analytic Geometry I,MATH251,2023-09-01,Fall 2015,373,CCC000378113,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Coastline Community College,California Community College,Calculus 1,MATHC180,2023-09-01,Fall 2017,831,CCC000442590,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Coastline Community College,California Community College,Calculus 1,MATHC180,2023-09-01,Fall 2017,831,CCC000335179,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,El Camino College,California Community College,Single Variable Calculus and Analytical Geometry I,MATH190,2023-09-01,Fall 2015,721,CCC000160857,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Palomar College,California Community College,"Calculus with Analytic Geometry, First Course",MATH140,2023-09-01,Fall 2013,061,CCC000302996,2023-10-07
MATH 240,Ordinary Differential Equations,Mt. San Jacinto College,California Community College,Differential Equations,MATH215,2023-09-01,Spring 2014,941,CCC000327167,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Reedley College,California Community College,Differential Equations and Linear Algebra,MATH17,2023-09-01,Fall 2014,572,CCC000550783,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Orange Coast College,California Community College,CALCULUS 1,MATHA180,2023-09-01,Fall 2014,833,CCC000119987,2023-10-07
MATH 240,Ordinary Differential Equations,Fresno City College,California Community College,Introduction to Differential Equations,MATH7,2023-09-01,Spring 2014,571,CCC000281093,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Bakersfield College,California Community College,Analytic Geometry and Calculus I,MATHB6A,2023-09-01,Summer 2016,521,CCC000242537,2023-10-07
MATH 250,Introduction to Linear Algebra,Fresno City College,California Community College,Elementary Linear Algebra,MATH26,2023-09-01,Spring 2015,571,CCC000323573,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Oxnard College,California Community College,Calculus with Analytic Geometry II,MATHR121,2023-09-01,Fall 2013,682,CCC000291195,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Yuba College,California Community College,Single Variable Calculus II - Early Transcendentals,MATH1B,2023-09-01,Fall 2013,291,CCC000267863,2023-10-07
MATH 240,Ordinary Differential Equations,Irvine Valley College,California Community College,Elementary Differential Equations Honors,MATH24H,2023-09-01,Fall 2014,892,CCC000554628,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Woodland Community College,California Community College,Single Variable Calculus II - Early Transcendentals,MATH1B,2023-09-01,Fall 2013,292,CCC000500240,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Orange Coast College,California Community College,HONORS CALCULUS 1,MATHA180H,2023-09-01,Fall 2009,833,CCC000107648,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Taft College,California Community College,Analytic Geometry and Calculus I,MATH2100,2023-09-01,Spring 2017,691,CCC000154399,2023-10-07
MATH 230,Multivariable Calculus,Crafton Hills College,California Community College,Multivariable Calculus,MATH252,2023-09-01,Fall 2013,981,CCC000429427,2023-10-07
MATH 230,Multivariable Calculus,Crafton Hills College,California Community College,Multivariable Calculus,MATH252,2023-09-01,Fall 2013,981,CCC000430924,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Golden West College,California Community College,Introduction to Linear Algebra and Differential Equations,MATHG285,2023-09-01,Fall 2015,832,CCC000225218,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,Riverside City College,California Community College,Linear Algebra + Linear Algebra + Linear Algebra,MAT3,2023-09-01,Summer 2007,961,CCC000255368,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,Moreno Valley College,California Community College,Linear Algebra + Linear Algebra + Linear Algebra,MAT3,2023-09-01,Summer 2007,962,CCC000520606,2023-10-07
MATH 250,Introduction to Linear Algebra + Introduction to Linear Algebra + Introduction to Linear Algebra,Norco College,California Community College,Linear Algebra + Linear Algebra + Linear Algebra,MAT3,2023-09-01,Summer 2007,963,CCC000519843,2023-10-07
MATH 250,Introduction to Linear Algebra,Bakersfield College,California Community College,Elementary Linear Algebra,MATHB6E,2023-09-01,Summer 2015,521,CCC000337256,2023-10-07
MATH 230,Multivariable Calculus,Bakersfield College,California Community College,Calculus III,MATHB6C,2023-09-01,Summer 2015,521,CCC000339715,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Cerritos College,California Community College,Linear Algebra and Differential Equations,MATH250,2023-09-01,Fall 2014,811,CCC000552447,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Porterville College,California Community College,Differential Equations and Linear Algebra,MATHP206,2023-09-01,Summer 2016,523,CCC000238629,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Porterville College,California Community College,Differential Equations and Linear Algebra,MATHP206,2023-09-01,Summer 2016,523,CCC000556782,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra + Differential Equations and Linear Algebra,El Camino College,California Community College,Differential Equations with Linear Algebra + Differential Equations with Linear Algebra,MATH270,2023-09-01,Fall 2016,721,CCC000112574,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Mt. San Jacinto College,California Community College,Analytic Geometry and Calculus I,MATH211,2023-09-01,Fall 2014,941,CCC000211614,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Mt. San Jacinto College,California Community College,Analytic Geometry and Calculus I,MATH211,2023-09-01,Fall 2014,941,CCC000598479,2023-10-07
MATH 250,Introduction to Linear Algebra,Moorpark College,California Community College,Introduction to Linear Algebra,MATHM31,2023-09-01,Fall 2016,681,CCC000426892,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Fullerton College,California Community College,Calculus II,MATH150BF,2023-09-01,Fall 2015,862,CCC000196489,2023-10-07
MATH 230,Multivariable Calculus,Copper Mountain College,California Community College,Multivariate Calculus,MATH002A,2023-09-01,Fall 2014,971,CCC000408314,2023-10-07
MATH 851,Trigonometry,West Valley College,California Community College,Trigonometry,MATH000D,2023-09-01,Fall 2014,493,CCC000322448,2023-10-07
MATH 230,Multivariable Calculus,Canada College,California Community College,Analytical Geometry and Calculus III,MATH253,2023-09-01,Fall 2014,371,CCC000101445,2023-10-07
MATH 230,Multivariable Calculus,Shasta College,California Community College,CALCULUS 4A,MATH4A,2023-09-01,Spring 2015,171,CCC000372592,2023-10-07
MATH 250,Introduction to Linear Algebra,Shasta College,California Community College,Linear Algebra,MATH6,2023-09-01,Spring 2015,171,CCC000517985,2023-10-07
MATH 240,Ordinary Differential Equations,MiraCosta College,California Community College,Differential Equations,MATH265,2023-09-01,Fall 2015,051,CCC000217041,2023-10-07
MATH 240,Ordinary Differential Equations,MiraCosta College,California Community College,Differential Equations,MATH265,2023-09-01,Fall 2015,051,CCC000545255,2023-10-07
MATH 240,Ordinary Differential Equations,Moorpark College,California Community College,Applied Differential Equations,MATHM35,2023-09-01,Spring 2015,681,CCC000431440,2023-10-07
MATH 240,Ordinary Differential Equations,Merritt College,California Community College,Differential Equations,MATH3F,2023-09-01,Fall 2015,344,CCC000557614,2023-10-07
MATH 240,Ordinary Differential Equations,East Los Angeles College,California Community College,Ordinary Differential Equations,MATH275,2023-09-01,Summer 2015,748,CCC000386236,2023-10-07
MATH 851,Trigonometry,Fresno City College,California Community College,Trigonometry,MATH4A,2023-09-01,Spring 2015,571,CCC000177126,2023-10-07
MATH 240,Ordinary Differential Equations,Shasta College,California Community College,Differential Equations,MATH4B,2023-09-01,Spring 2016,171,CCC000359936,2023-10-07
MATH 240,Ordinary Differential Equations,Copper Mountain College,California Community College,Ordinary Differential Equations,MATH002C,2023-09-01,Spring 2014,971,CCC000387255,2023-10-07
MATH 240,Ordinary Differential Equations,Cypress College,California Community College,Linear Algebra/Differential Eq.,MATH250BC,2023-09-01,Fall 2014,861,CCC000270175,2023-10-07
MATH 240,Ordinary Differential Equations,Cypress College,California Community College,Linear Algebra/Differential Eq.,MATH250BC,2023-09-01,Fall 2014,861,CCC000546019,2023-10-07
MATH 240,Ordinary Differential Equations,Hartnell College,California Community College,Differential Equations,MAT5,2023-09-01,Fall 2013,451,CCC000238435,2023-10-07
MATH 240,Ordinary Differential Equations,Crafton Hills College,California Community College,Introduction to Ordinary Differential Equations,MATH266,2023-09-01,Fall 2017,981,CCC000427479,2023-10-07
MATH 240,Ordinary Differential Equations,Crafton Hills College,California Community College,Introduction to Ordinary Differential Equations,MATH266,2023-09-01,Fall 2017,981,CCC000549166,2023-10-07
MATH 250,Introduction to Linear Algebra,Santa Barbara City College,California Community College,Linear Algebra,MATH210,2023-09-01,Spring 2016,651,CCC000412705,2023-10-07
MATH 250,Introduction to Linear Algebra,Merritt College,California Community College,Linear Algebra,MATH3E,2023-09-01,Fall 2015,344,CCC000557398,2023-10-07
MATH 160,Discrete Math,Contra Costa College,California Community College,Discrete Mathematics,MATH185,2023-09-01,Fall 2014,311,CCC000257974,2023-10-07
MATH 160,Discrete Math,Moorpark College,California Community College,Discrete Mathematics,MATHM21,2023-09-01,Fall 2016,681,CCC000434757,2023-10-07
MATH 240,Ordinary Differential Equations,Los Angeles Southwest College,California Community College,Ordinary Differential Equations,MATH275,2023-09-01,Fall 2013,745,CCC000047773,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Santa Ana College,California Community College,Single Variable Calculus I,MATH180,2023-09-01,Fall 2015,871,CCC000397809,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Sacramento City College,California Community College,Calculus II,MATH401,2023-09-01,Summer 2015,233,CCC000333532,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,College of the Redwoods,California Community College,Integral Calculus,MATH50B,2023-09-01,Fall 2014,161,CCC000357708,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals,Norco College,California Community College,Calculus II + Calculus II + Calculus II,MAT1B,2023-09-01,Summer 2008,963,CCC000519839,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals,Moreno Valley College,California Community College,Calculus II + Calculus II + Calculus II,MAT1B,2023-09-01,Summer 2008,962,CCC000520602,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals + Single Variable Calculus II Early Transcendentals,Riverside City College,California Community College,Calculus II + Calculus II + Calculus II,MAT1B,2023-09-01,Summer 2008,961,CCC000295562,2023-10-07
MATH 910 S,Differential Equations and Linear Algebra,Allan Hancock College,California Community College,Linear Algebra and Differential Equations,MATH184,2023-09-01,Fall 2015,611,CCC000098020,2023-10-07
MATH 160,Discrete Math,Copper Mountain College,California Community College,Discrete Structures,MATH004,2023-09-01,Spring 2014,971,CCC000547126,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Butte College,California Community College,Analytic Geometry and Calculus II,MATH31,2023-09-01,Spring 2013,111,CCC000337385,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Laney College,California Community College,Calculus II,MATH3B,2023-09-01,Fall 2013,343,CCC000372951,2023-10-07
MATH 160,Discrete Math,Chaffey College,California Community College,Discrete Structures,COMPSCI4,2023-09-01,Fall 2018,921,CCC000590355,2023-10-07
MATH 160,Discrete Math,West Valley College,California Community College,Discrete Mathematics,MATH019,2023-09-01,Summer 2013,493,CCC000272105,2023-10-07
MATH 160,Discrete Math,Mission College,California Community College,Discrete Mathematics,MAT019,2023-09-01,Fall 2014,492,CCC000049809,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Crafton Hills College,California Community College,Single Variable Calculus II,MATH251,2023-09-01,Fall 2013,981,CCC000429715,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Crafton Hills College,California Community College,Single Variable Calculus II,MATH251,2023-09-01,Fall 2013,981,CCC000431121,2023-10-07
