CID,Descriptor,Institution,Institution type,Course_Title,Local_Course_ID,Approval date,COR effective term,GI01,CB00,Last_Updated
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Lake Tahoe Community College,California Community College,Calculus and Analytic Geometry (Part II) + Calculus and Analytic Geometry (Part III) + Calculus and Analytic Geometry (Part I),MAT107,2023-09-01,Fall 2007,221,CCC000382844,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence + Single Variable Calculus Sequence,Lake Tahoe Community College,California Community College,Calculus and Analytic Geometry (Part II) + Calculus and Analytic Geometry (Part III) + Calculus and Analytic Geometry (Part I),MAT105,2023-09-01,Fall 2007,221,CCC000382336,2023-10-07
MATH 230,Multivariable Calculus,Ohlone College,California Community College,Calculus with Analytic Geometry,MATH101C,2023-09-01,Spring 2011,431,CCC000083681,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Santiago Canyon College,California Community College,Single Variable Calculus II,MATH185,2023-09-01,Spring 2011,873,CCC000176482,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,City College of San Francisco,California Community College,Calculus I,MATH110A,2023-09-01,Summer 2011,361,CCC000382497,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,City College of San Francisco,California Community College,Calculus I,MATH110A,2023-09-01,Summer 2011,361,CCC000576383,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,City College of San Francisco,California Community College,Calculus II,MATH110B,2023-09-01,Summer 2011,361,CCC000376234,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,City College of San Francisco,California Community College,Calculus II,MATH110B,2023-09-01,Summer 2011,361,CCC000576042,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Las Positas College,California Community College,Calculus I + Calculus II,MATH1,2023-09-01,Spring 2011,481,CCC000348340,2023-10-07
MATH 900 S,Single Variable Calculus Sequence + Single Variable Calculus Sequence,Las Positas College,California Community College,Calculus I + Calculus II,MATH2,2023-09-01,Spring 2011,481,CCC000375566,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,American River College,California Community College,Calculus II,MATH401,2023-09-01,Fall 2012,231,CCC000333358,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,American River College,California Community College,Calculus I,MATH400,2023-09-01,Spring 2011,231,CCC000198198,2023-10-07
MATH 250,Introduction to Linear Algebra,Cabrillo College,California Community College,Introduction to Linear Algebra,MATH6,2023-09-01,Fall 2012,411,CCC000353920,2023-10-07
MATH 240,Ordinary Differential Equations,Cabrillo College,California Community College,Introduction to Differential Equations,MATH7,2023-09-01,Fall 2012,411,CCC000379511,2023-10-07
MATH 230,Multivariable Calculus,Chaffey College,California Community College,Calculus III,MATH75,2023-09-01,Spring 2011,921,CCC000410519,2023-10-07
MATH 240,Ordinary Differential Equations,Las Positas College,California Community College,Ordinary Differential Equations,MATH5,2023-09-01,Spring 2011,481,CCC000382466,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Las Positas College,California Community College,Calculus I,MATH1,2023-09-01,Spring 2011,481,CCC000348340,2023-10-07
MATH 221,Single Variable Calculus II Late Transcendentals,Las Positas College,California Community College,Calculus II,MATH2,2023-09-01,Spring 2011,481,CCC000375566,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Hartnell College,California Community College,Analytic Geometry and Calculus I,MAT3A,2023-09-01,Spring 2011,451,CCC000323638,2023-10-07
MATH 250,Introduction to Linear Algebra,Gavilan College,California Community College,Linear Algebra,MATH2,2023-09-01,Spring 2011,441,CCC000293714,2023-10-07
MATH 240,Ordinary Differential Equations,American River College,California Community College,Differential Equations,MATH420,2023-09-01,Fall 2012,231,CCC000331771,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Orange Coast College,California Community College,Calculus 1,MATH180,2023-09-01,Fall 2011,833,CCC000119987,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Orange Coast College,California Community College,Calculus 2,MATHA185,2023-09-01,Fall 2011,833,CCC000249465,2023-10-07
MATH 230,Multivariable Calculus,City College of San Francisco,California Community College,Calculus III,MATH110C,2023-09-01,Summer 2011,361,CCC000370302,2023-10-07
MATH 230,Multivariable Calculus,City College of San Francisco,California Community College,Calculus III,MATH110C,2023-09-01,Summer 2011,361,CCC000576041,2023-10-07
MATH 240,Ordinary Differential Equations,Cuyamaca College,California Community College,Differential Equations,MATH285,2023-09-01,Fall 2011,021,CCC000288946,2023-10-07
MATH 240,Ordinary Differential Equations,Golden West College,California Community College,Ordinary Differential Equations,MATHG282,2023-09-01,Fall 2012,832,CCC000513040,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Napa Valley College,California Community College,Calculus I,MATH120,2023-09-01,Summer 2012,241,CCC000304711,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Napa Valley College,California Community College,Calculus I,MATH120,2023-09-01,Summer 2012,241,CCC000525369,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Napa Valley College,California Community College,Calculus I,MATH120,2023-09-01,Summer 2012,241,CCC000561098,2023-10-07
MATH 240,Ordinary Differential Equations,Napa Valley College,California Community College,Differential Equations,MATH222,2023-09-01,Spring 2012,241,CCC000311337,2023-10-07
MATH 240,Ordinary Differential Equations,Sacramento City College,California Community College,Differential Equations,MATH420,2023-09-01,Spring 2012,233,CCC000263346,2023-10-07
MATH 211,Single Variable Calculus I Late Transcendentals,Glendale Community College,California Community College,CALCULUS & ANALYTIC GEOMETRY,MATH103,2023-09-01,Summer 2012,731,CCC000079741,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Mission College,California Community College,Analytic Geometry and Calculus I,MAT003A,2023-09-01,Spring 2010,492,CCC000329845,2023-10-07
MATH 240,Ordinary Differential Equations,Glendale Community College,California Community College,Ordinary Differential Equations,MATH108,2023-09-01,Summer 2012,731,CCC000299805,2023-10-07
MATH 240,Ordinary Differential Equations,Glendale Community College,California Community College,Ordinary Differential Equations,MATH108,2023-09-01,Summer 2012,731,CCC000583864,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Fresno City College,California Community College,Mathematical Analysis I,MATH5A,2023-09-01,Fall 2012,571,CCC000336025,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Fresno City College,California Community College,Mathematical Analysis I,MATH5A,2023-09-01,Fall 2012,571,CCC000444005,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Berkeley City College,California Community College,Calculus II,MATH3B,2023-09-01,Fall 2012,345,CCC000379590,2023-10-07
MATH 240,Ordinary Differential Equations,Berkeley City College,California Community College,Differential Equations,MATH3F,2023-09-01,Fall 2012,345,CCC000439712,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Berkeley City College,California Community College,Calculus I,MATH3A,2023-09-01,Fall 2012,345,CCC000375993,2023-10-07
MATH 250,Introduction to Linear Algebra,Berkeley City College,California Community College,Linear Algebra,MATH3E,2023-09-01,Fall 2012,345,CCC000352674,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Moorpark College,California Community College,Calculus with Analytic Geometry I,MATHM25A,2023-09-01,Spring 2013,681,CCC000428988,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Moorpark College,California Community College,Honors: Calculus with Analytic Geometry I,MATHM25AH,2023-09-01,Spring 2013,681,CCC000426907,2023-10-07
MATH 151,College Algebra for STEM,Mt. San Jacinto College,California Community College,College Algebra,MATH105,2023-09-01,Fall 2010,941,CCC000187803,2023-10-07
MATH 240,Ordinary Differential Equations,West Hills College Lemoore,California Community College,Differential Equations,MATH2B,2023-09-01,Fall 2012,582,CCC000343209,2023-10-07
MATH 250,Introduction to Linear Algebra,Irvine Valley College,California Community College,Introduction to Linear Algebra,MATH26,2023-09-01,Fall 2014,892,CCC000399625,2023-10-07
MATH 230,Multivariable Calculus,Irvine Valley College,California Community College,Analytic Geometry and Calculus III,MATH4A,2023-09-01,Fall 2014,892,CCC000403685,2023-10-07
MATH 240,Ordinary Differential Equations,Irvine Valley College,California Community College,Elementary Differential Equations,MATH24,2023-09-01,Fall 2014,892,CCC000406269,2023-10-07
MATH 155,Precalculus,Irvine Valley College,California Community College,Pre-calculus,MATH2,2023-09-01,Fall 2014,892,CCC000401843,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Modesto Junior College,California Community College,Calculus: Second Course,MATH172,2023-09-01,Fall 2013,592,CCC000283866,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Modesto Junior College,California Community College,Calculus: Second Course,MATH172,2023-09-01,Fall 2013,592,CCC000573309,2023-10-07
MATH 240,Ordinary Differential Equations,Saddleback College,California Community College,Elementary Differntial Equations,MATH24,2023-09-01,Fall 2012,891,CCC000416523,2023-10-07
MATH 240,Ordinary Differential Equations,Santa Rosa Junior College,California Community College,"Calculus, Fourth Course-Differential Equations",MATH2,2023-09-01,Fall 2014,261,CCC000143493,2023-10-07
MATH 250,Introduction to Linear Algebra,Lake Tahoe Community College,California Community College,Linear Algebra,MAT203,2023-09-01,Fall 2009,221,CCC000382726,2023-10-07
MATH 155,Precalculus,Mendocino College,California Community College,Precalculus Mathematics,MTH200,2023-09-01,Fall 2014,141,CCC000504450,2023-10-07
MATH 155,Precalculus,Mendocino College,California Community College,Precalculus Mathematics,MTH200,2023-09-01,Fall 2014,141,CCC000264029,2023-10-07
MATH 240,Ordinary Differential Equations,De Anza College,California Community College,Differential Equations,MATH2A,2023-09-01,Fall 2015,421,CCC000281003,2023-10-07
MATH 230,Multivariable Calculus,Diablo Valley College,California Community College,Analytic Geometry and Calculus III,MATH292,2023-09-01,Fall 2014,312,CCC000325782,2023-10-07
MATH 230,Multivariable Calculus,Diablo Valley College,California Community College,Analytic Geometry and Calculus III,MATH292,2023-09-01,Fall 2014,312,CCC000536177,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Shasta College,California Community College,CALCULUS 3A,MATH3A,2023-09-01,Fall 2014,171,CCC000370427,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Rio Hondo College,California Community College,Calculus I,MATH190,2023-09-01,Spring 2015,881,CCC000404606,2023-10-07
MATH 250,Introduction to Linear Algebra,Saddleback College,California Community College,Linear Algebra,MATH26,2023-09-01,Fall 2012,891,CCC000386636,2023-10-07
MATH 230,Multivariable Calculus,Palomar College,California Community College,"Calculus with Analytic Geometry, Third Course",MATH205,2023-09-01,Summer 2014,061,CCC000302927,2023-10-07
MATH 240,Ordinary Differential Equations,Oxnard College,California Community College,Differential Equations,MATHR143,2023-09-01,Spring 2013,682,CCC000542119,2023-10-07
MATH 230,Multivariable Calculus,Cabrillo College,California Community College,Analytical Geometry and Calculus III,MATH5C,2023-09-01,Fall 2014,411,CCC000346670,2023-10-07
MATH 230,Multivariable Calculus,Cabrillo College,California Community College,Analytical Geometry and Calculus III,MATH5C,2023-09-01,Fall 2014,411,CCC000521250,2023-10-07
MATH 230,Multivariable Calculus,Cabrillo College,California Community College,Analytical Geometry and Calculus III,MATH5C,2023-09-01,Fall 2014,411,CCC000577099,2023-10-07
MATH 240,Ordinary Differential Equations,Mission College,California Community College,Differential Equations,MAT004B,2023-09-01,Spring 2014,492,CCC000192816,2023-10-07
MATH 240,Ordinary Differential Equations,San Joaquin Delta College,California Community College,Differential Equations,MATH4,2023-09-01,Summer 2014,551,CCC000373559,2023-10-07
MATH 240,Ordinary Differential Equations,Woodland Community College,California Community College,Ordinary Differential Equations,MATH2,2023-09-01,Fall 2013,292,CCC000536674,2023-10-07
MATH 240,Ordinary Differential Equations,Mendocino College,California Community College,Differential Equations,MTH215,2023-09-01,Fall 2014,141,CCC000282363,2023-10-07
MATH 240,Ordinary Differential Equations,Yuba College,California Community College,Ordinary Differential Equations,MATH2,2023-09-01,Fall 2013,291,CCC000536665,2023-10-07
MATH 240,Ordinary Differential Equations,Ohlone College,California Community College,Differential Equations,MATH104,2023-09-01,Spring 2015,431,CCC000061999,2023-10-07
MATH 240,Ordinary Differential Equations,College of the Canyons,California Community College,Differential Equations,MATH215,2023-09-01,Spring 2014,661,CCC000286970,2023-10-07
MATH 240,Ordinary Differential Equations,College of the Canyons,California Community College,Differential Equations,MATH215,2023-09-01,Spring 2014,661,CCC000616243,2023-10-07
MATH 240,Ordinary Differential Equations,College of Alameda,California Community College,Differential Equations,MATH3F,2023-09-01,Fall 2013,341,CCC000350594,2023-10-07
MATH 240,Ordinary Differential Equations,Butte College,California Community College,Differential Equations,MATH40,2023-09-01,Spring 2013,111,CCC000291045,2023-10-07
MATH 250,Introduction to Linear Algebra,Foothill College,California Community College,Introduction to Linear Algebra,MATH2B,2023-09-01,Summer 2013,422,CCC000182403,2023-10-07
MATH 250,Introduction to Linear Algebra,College of the Canyons,California Community College,Linear Algebra,MATH214,2023-09-01,Fall 2014,661,CCC000335350,2023-10-07
MATH 250,Introduction to Linear Algebra,College of the Canyons,California Community College,Linear Algebra,MATH214,2023-09-01,Fall 2014,661,CCC000616242,2023-10-07
